census_tract,total_pop,white_pop,black_pop,asian_pop,median_income
17031520300,5859,3242,0,64,46471
17031520400,4805,3135,17,5,44206
17031520500,5264,3058,85,41,73333
17031520600,2655,1479,117,0,81742
17031530100,1937,584,905,0,34091
17031530200,4406,37,3851,0,39801
17031530300,3974,16,3836,0,52485
17031530400,2215,65,2058,0,65729
17031530501,5007,77,4841,0,48426
17031530502,1494,0,1494,0,66111
17031530503,5574,108,5297,0,52045
17031530600,2344,14,2245,0,37321
17031540101,4535,163,4228,0,14424
17031540102,3399,6,3369,0,26518
17031550100,6494,4405,610,0,57780
17031550200,2749,1847,107,0,62905
17031560100,1331,540,306,100,34688
17031560200,1547,260,907,10,48906
17031560300,3213,1931,58,21,56806
17031560400,1608,986,0,52,68750
17031560700,3682,2281,1,34,70076
17031560800,6077,4070,0,22,95077
17031560900,5394,4211,1,64,103375
17031561000,5947,5004,0,0,100531
17031561100,5748,3995,27,42,97106
17031570100,1321,564,9,120,56471
17031570200,2271,1101,0,212,-666666666
17031570300,5617,2939,125,363,46997
17031570400,1761,1045,2,38,64035
17031570500,2621,1644,0,152,52222
17031580100,2626,753,214,943,47500
17031580200,3239,1150,0,483,45577
17031580300,2536,1584,31,436,65742
17031580400,5164,1995,60,634,51043
17031580501,4773,1708,16,471,43819
17031580502,4832,1806,0,351,41303
17031580600,4941,2272,179,384,45975
17031580700,6356,1477,113,322,54233
17031580800,2110,720,0,69,52324
17031590500,1746,541,106,511,71641
17031590600,3701,1364,11,504,59714
17031590700,3016,1374,29,583,70313
17031600400,4117,1245,281,2463,57637
17031600600,3061,1320,0,1305,51250
17031600700,2703,611,0,1667,60010
17031600900,3898,1702,223,1262,65617
17031610300,5626,2219,297,174,36002
17031610400,1902,801,41,0,44632
17031610800,1551,1172,0,95,81064
17031611200,2033,831,404,9,29470
17031611300,3117,824,319,0,40203
17031611400,3309,1046,52,1,26583
17031611500,3350,1279,320,0,38956
17031611600,1742,341,1301,0,20778
17031611700,1790,650,531,0,18000
17031611800,1996,293,1318,2,47181
17031611900,1369,314,922,0,31875
17031612000,1208,97,1017,7,42292
17031612100,1024,0,786,8,22159
17031612200,3681,810,1047,109,36518
17031620100,4400,2215,0,309,66447
17031620200,2012,1408,0,66,51856
17031620300,6918,3322,116,117,58017
17031620400,4692,1916,16,112,49185
17031630300,5193,2741,146,73,53924
17031630400,6136,2903,85,42,33659
17031630500,5763,2907,2,0,45167
17031630600,2717,1257,157,70,47045
17031630800,6358,2245,100,18,57538
17031630900,4520,2066,354,199,36154
17031640100,1349,727,12,0,40307
17031640300,7550,4083,258,0,64653
17031640400,3467,2683,102,8,72839
17031640500,4025,2953,48,49,71719
17031640600,4337,2469,62,75,65714
17031640700,3237,1811,24,0,65529
17031640800,1542,947,35,29,36875
17031650100,4584,2245,38,1,53697
17031650200,7042,4250,45,130,79957
17031650301,4772,2935,82,11,63219
17031650302,4782,2735,70,0,48750
17031650400,6707,1911,153,53,61125
17031650500,4511,2267,472,0,75275
17031660301,1572,500,516,0,22443
17031660302,4640,1521,880,0,42542
17031660400,4614,1918,73,23,45071
17031660500,4364,2249,158,11,35242
17031660600,5266,1477,2298,0,29703
17031660700,1529,45,1375,5,27073
17031660800,5728,1237,2842,12,38973
17031660900,5081,815,3858,23,40459
17031661000,5576,345,3739,0,41538
17031661100,7370,1714,2331,26,66786
17031670100,1329,131,963,0,26800
17031670200,747,0,729,0,27667
17031670300,1320,103,1048,0,25789
17031670400,1626,99,1332,0,27139
17031670500,832,81,721,0,26538
17031670600,1097,147,800,0,22083
17031670700,1170,251,744,0,27413
17031670800,1077,0,1055,0,25750
17031670900,1314,144,1142,0,27465
17031671100,1033,7,990,0,13060
17031671200,815,13,802,0,39231
17031671300,1607,69,1503,0,27316
17031671400,1263,51,739,0,25981
17031671500,2263,75,2095,0,34460
17031671600,1719,63,1541,15,17831
17031671800,1242,39,1139,0,31061
17031671900,1293,137,840,29,59663
17031672000,3523,20,3065,0,39595
17031680500,1144,199,881,0,28438
17031680600,994,7,980,7,43929
17031680900,3881,85,3595,75,20370
17031681000,2107,12,2013,0,19919
17031681100,1907,4,1886,1,29031
17031681200,2124,90,1852,0,16538
17031681300,2350,14,2267,53,16209
17031681400,2129,66,2002,2,49119
17031690300,2361,71,2275,0,-666666666
17031690400,2748,0,2708,0,23389
17031690500,898,0,898,0,40179
17031690900,4109,63,3950,0,35960
17031691000,2072,35,1952,1,46683
17031691100,2911,38,2806,0,31402
17031691200,2150,10,2097,0,33656
17031691300,2445,51,2091,0,38472
17031691400,2798,0,2592,7,42841
17031691500,2002,74,1919,0,20109
17031700100,3882,1137,2337,9,71397
17031700200,6971,1832,1202,147,78581
17031700301,6693,2908,446,76,69909
17031700302,6050,3301,1019,11,77885
17031700401,6744,1007,3437,67,69255
17031700402,3502,836,2067,4,71506
17031700501,6666,715,5562,141,64250
17031700502,3707,419,3092,0,83419
17031710100,1100,0,1094,0,20797
17031710200,4471,121,4299,10,27016
17031710300,1541,65,1322,26,50284
17031710400,5615,52,5184,0,36827
17031710500,4192,92,3973,17,34555
17031710600,1859,53,1705,0,37926
17031710700,3751,17,3677,1,34097
17031710800,4650,6,4599,39,25147
17031710900,2230,38,2173,0,38462
17031711000,3946,73,3813,0,52938
17031711100,2647,87,2551,0,47198
17031711200,5035,24,4293,0,55385
17031711300,1616,39,1528,49,56444
17031711400,2701,4,2575,0,43111
17031711500,2685,14,2667,0,49639
17031720100,3332,1941,824,110,149194
